ISBN,Title,Author,Publisher,Department,Sell_Price,Stock_OnHand,WEBLIST_Status,Would_Sync_To_Shopify
9781776951291,Different Kind Of Power,ARDERN JACINDA,PENGNZ,,40.0,0,active,YES
9780908319541,Discover New Zealand - 2026 Diary,HYNDMAN STATIONARY,HYNDMA,,9.99,0,active,YES
9781797233604,Disney A Year of Animation 2026 Daily Calendar,DISNEY,CHRONI,,39.99,0,active,YES
9414740005569,Dog - Puffy Stickers,,AVAINT,,2.5,0,active,YES
9414740997949,Dog Stickers,,AVAINT,,2.5,0,active,YES
9780994450807,Dont - How using the right words will change your life,SELDEN BOB,LIONCR,,35.0,0,active,YES
9781626920040,Dragonar Academy Vol. 1,MIZUCHI SHIKI,SEVENS,,17.99,0,active,YES
9781626920163,Dragonar Academy Vol. 2,MIZUCH  SHIKI,SEVSEA,,17.99,0,active,YES
9798879542851,Dream Sisters,PICKERING JUSTINE,PRIPUB,,29.99,0,active,YES
9414740988398,Easter Bunny Stickers,,TJWH,,2.99,0,active,YES
9414740988435,Easter Bunny Stickers,,TJWH,,2.5,0,active,YES
9414740988442,Easter Chick Stickers,,TJWH,,2.5,0,active,YES
9780473757700,Eat Your Hormones,WILLIAMSON RENNIE,PRIPUB,,75.0,0,active,YES
9781787636729,Embrace the Chaos - 52 Tactics to Make Every Day Count,FOX JASON,BANTAM,,49.99,0,active,YES
9781839947919,Emergency - Make Tracks,,NOSCRO,,18.99,0,active,YES
9781250871633,Empire of Ice and Stone - The Disastrous and Heroic Voyage of the Karluk,LEVY BUDDY,GRIPRE,,39.99,0,active,YES
9780747599043,Epitaph of a Small Winner,ASSIS MACHADO DE,BLOOMS,,29.99,0,active,YES
9781788796149,Everyday Antiques  -  Inviting Homes Where Old Meets New,SORRELL KATHERINE,RYLAND,,84.99,0,active,YES
9781913097684,Exteriors,ERNAUX ANNIE,FITZCA,,27.99,0,active,YES
9781853261008,Fairy Tales,ANDERSEN HANS CHRISTIAN,WORDSW,,9.99,0,active,YES
9781788280532,Far From The Madding Crowd - Arcturus Classics,HARDY THOMAS,ARCTUR,,12.99,0,active,YES
9780753559574,Femina - A New History Of The Middle Ages Through The Women Written Out Of It,RAMIREZ JANINA,WHALLE,,40.0,0,active,YES
9781841813431,Feng Shui Life Coach,BROWN SIMON G,GODSFI,,29.99,0,active,YES
9781398518568,Field of Dreams - 100 Years of Wembley in 100 Matches,TASSELL NIGE,SIMON&,,29.99,0,active,YES
9780473601942,Final Call,SHIEFF JEN,MAREGA,,30.0,0,active,YES
9781840226614,Finnegans Wake - Wordsworth Classics,JOYCE JAMES,WORDSW,,13.99,0,active,YES
9781612120041,Five Plant Gardens,ONDRA NANCY J,STOPUB,,14.99,0,active,YES
9781915343147,Formula One Legends - The Greatest Drivers The Greatest Races,PEEL DAN,SONBOO,,59.99,0,active,YES
9780008194932,Freckles,AHERN CECELIA,HARCOL,,32.99,0,active,YES
9780007371464,Gangsta Granny,WALLIAMS DAVID,HARPCH,,18.99,0,active,YES
9781776920839,Garden Is A Long Time,HOPE-CROSS ANNEMARIE / BORNHOLDT JENNY,TEHERE,,50.0,0,active,YES
9781611250220,Gardens Of The Soul - Making Sacred And Shamanic Art,NOLTON FAITH,DIVART,,24.99,0,active,YES
9780425285640,Garfield - Life to the Fullest - His 34th Book,DAVIS JIM,BALLAN,,19.99,0,active,YES
9780425285695,Garfield Feeds the Kitty - His 35th Book,DAVIS JIM,BALBOO,,19.99,0,active,YES
9780345525840,Garfield Lard of the Jungle - His 52nd Book,DAVIS JIM,RANINC,,19.99,0,active,YES
9780345525987,Garfield Souped Up,DAVIS JIM,BALBOO,,19.99,0,active,YES
9780425285596,Garfield Throws His Weight Around - His 33rd Book,DAVIS JIM,BALBOO,,30.0,0,active,YES
9781785043949,Get Untamed - The Journal  - How to Quit Pleasing and Start Living,DOYLE GLENNON,VERMIL,,35.0,0,active,YES
9781509806928,Ghost Ship - 3 Joubert Family Chronicles,MOSSE KATE,MANTLE,,37.99,0,active,YES
9781800961333,Ghosts of the British Museum - A True Story of Colonial Loot and Restless Objects,ANGELL NOAH,MONORA,,39.99,0,active,YES
9781925791433,Girl They Left Behind,VELETZOS ROXANNE,SIMON&,,22.99,0,active,YES
9781922848383,Golden Days,BARRON CAROLINE,AFFPRE,,37.99,0,active,YES
9781761043673,Golden Doves,HALL KELLY MARTHA,MICJOS,,37.0,0,active,YES
9780241672044,Grandest Game - 1 Grandest Game,BARNES JENNIFER LYNN,PENGUI,,32.0,0,active,YES
9781856755627,Great Tree Story - How Forests Have Shaped Our World,WOOD LEVISON,GAIA,,39.99,0,active,YES
9780007650989,Greek Phrase Book CD Pack - Collins Gem,COLLINS GEM,COLLIN,,21.0,0,active,YES
9781465429803,Grow All You Can Eat In Three Square Feet - Inventive Ideas For Growing Food In A Small Space,DK,DK,,34.99,0,active,YES
824046019228,Guitar Virtuosos - Segovia And Williams,,GARDCD,,19.99,0,active,YES
9780063378643,Gut Check,GUNDRY STEVEN R,HARCUS,,39.99,0,active,YES
9781783788231,Handmade - Learning the Art of Chainsaw Mindfulness in a Norwegian Wood,HELLE SIRI,GRANTA,,24.99,0,active,YES
9780141397283,Hippo Banquet - 32 Penguin Little Black Classics,KINGSLEY MARY,PENGUI,,2.99,0,active,YES
9780473559465,"Hold The Line -  The Springbok tour of '81, a family, a love affair, a nation at war",HARRISON KERRY,CLOINK,,29.99,0,active,YES
9781452176895,Hollywood Book Club,REA STEVEN,CHRONI,,39.99,0,active,YES
9780143776215,How To Be A Bad Muslim - Essays,HASSAN MOHAMED,PENGNZ,,35.0,0,active,YES
9780008717629,How To Sleep Like A Caveman -  Ancient Wisdom For A Better Nights Rest,VAN DE LAAR MERIJN,WILCOL,,37.99,0,active,YES
9781781579862,"Ilex Introduction to Photography - Capturing the Moment Every Time, Whatever Camera You Have",KAMPS HAJE JAN,ILEX,,39.99,0,active,YES
9780995143760,In Hindsight - 50 Years of Deer Farming in New Zealand,GRAY LINDA,QUEWIL,,55.0,0,active,YES
9781472250216,In Our Mad And Furious City,GUNARATNE GUY,TINDER,,27.99,0,active,YES
9781805130574,In The Sky - Make Tracks,,NOSCRO,,18.99,0,active,YES
4031172118619,Insects - Art Game,FRIDOLIN,FRIDOL,,16.99,0,active,YES
9789189882157,"Intelligence and Contemporary Conflict - Communication in Diplomacy, Statecraft and War",HEFLER MATTHEW,STOLPE,,44.99,0,active,YES
9781401324414,Jamie Olivers Food Escapes - Over 100 Recipes From The Great Food Regions Of The World,OLIVER JAMIE,HYPERI,,39.99,0,active,YES
9781923106314,Joss - A History,YEE GRACE,GIRAMO,,32.99,0,active,YES
9780804851480,Judo Formal Techniques - A Basic Guide to Throwing and Grappling - The Essentials of Kodokan Free Practice Forms,DRAEGER DONN F,TUTTLE,,39.99,0,active,YES
9416458075155,Kepler Track - Fiordland National Park - Parkmap,GEOGRAPHIX MAPSMITHS,MAPGEO,,24.99,0,active,YES
8716951369593,Klimt - Magnet Box,BEKKING AND BLITZ,BEKKIN,,29.99,0,active,YES
9781368073141,Last Fallen Moon - 2 Gifted Clans Novel,KIM GRACI,DISNEY,,34.99,0,active,YES
9781926444178,Last Of The Mohicans - Paper Mill Classics,COOPER JAMES FENIM,PAPMIL,,24.99,0,active,YES
9781774584873,Lean Marketing -  More leads. More profit. Less marketing.,DIB ALLAN,PAGETW,,39.99,0,active,YES
9781988595412,Leaning Man,ANNE HARRE,CUBPRE,,37.0,0,active,YES
9781787396111,Life Lessons From Explorers - Learn how to weather life's storms from history's greatest explorers,ASTON FELICITY,WELBEC,,27.99,0,active,YES
