isbn,title,bookscan_maincat,bookscan_subcat,bic_code,bic_tag,assessment,tags_to_add
9781786583376,Ghost Story,Fiction,General Fiction,FK,Horror,RECLASSIFY,Horror
9781804186527,Group,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781800754515,Presumed Guilty - 3 Presumed Innocent,Fiction,Crime Fiction,FHP,Thriller,ADD_SECONDARY,Thriller
9781761472022,"Creative Journal Writing - A guided journey of self-expression, personal growth, and supportive reflection",Reference,General,CBV,Languages,RECLASSIFY,Languages
9781409192749,Body for Rent - The terrifying true story of two ordinary girls sold for sex against their will,History And Politics,History,BG,Biography,ADD_SECONDARY,Biography
9780300246728,Madwoman in the Attic - The Woman Writer and the Nineteenth-Century Literary Imagination,Reference,General,DSA,Classics,RECLASSIFY,Classics
9781526652720,Hidden Hand - 2 Manon Tyler,Fiction,Crime Fiction,FHD,Thriller,ADD_SECONDARY,Thriller
9781035913114,Wedding Party,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781804297506,Killing of Gaza - Reports on a Catastrophe,History And Politics,History,JPS,Politics,ADD_SECONDARY,Politics
9780199661350,Fowlers Dictionary of Modern English Usage,Reference,General,CBG,Languages,RECLASSIFY,Languages
9780199666317,Fowlers Concise Dictionary of Modern English Usage,Reference,General,CBG,Languages,RECLASSIFY,Languages
9781991103581,Safekeeping,Fiction,General Fiction,FF,Crime Fiction,RECLASSIFY,Crime Fiction
9781761341748,Bad Bridesmaid,Fiction,General Fiction,FRD,Romance,RECLASSIFY,Romance
9781405953382,Lone Wolf - 9 Orphan X,Fiction,Crime Fiction,FHD,Thriller,ADD_SECONDARY,Thriller
9781405972994,Ancient Sorceries -  The Adventures of John Silence,Fiction,General Fiction,FKC,Horror,RECLASSIFY,Horror
9780143137863,Penguin Book of Demons,Fiction,Classics,FKC,Horror,ADD_SECONDARY,Horror
9780241689646,Haunting of Hill House,Fiction,Classics,FK,Horror,ADD_SECONDARY,Horror
9781761345807,Dare I Say It - Everything I Wish I'd Known About Menopause,Well Being,Health,VS,Psychology,ADD_SECONDARY,Psychology
9780241705148,Augustus The Strong - A Study in Artistic Greatness and Political Fiasco,History And Politics,History,BGH,Biography,ADD_SECONDARY,Biography
9780241996584,"Tyranny of the Minority - How to Reverse an Authoritarian Turn, and Forge a Democracy for All",History And Politics,History,JPHV,Politics,ADD_SECONDARY,Politics
9781785908996,Trial of Vladimir Putin,History And Politics,History,JPVH,Politics,ADD_SECONDARY,Politics
9781760680671,When Im Feeling Sad,Well Being,Childrens Well Being,YBCS,Childrens Picture Books,ADD_SECONDARY,Childrens Picture Books
9781760680688,When Im Feeling Scared,Well Being,Childrens Well Being,YBC,Childrens Picture Books,ADD_SECONDARY,Childrens Picture Books
9781760680626,When Im Feeling Happy,Well Being,Childrens Well Being,YBC,Childrens Picture Books,ADD_SECONDARY,Childrens Picture Books
9781760409586,When Im Feeling Disappointed,Well Being,Childrens Well Being,YBC,Childrens Picture Books,ADD_SECONDARY,Childrens Picture Books
9780008652715,Heartbreak Is The National Anthem - How Taylor Swift Reinvented Pop Music,The Arts,Music And Performing Arts,BGF,Biography,ADD_SECONDARY,Biography
9781460766255,Head Cases,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781435162556,Complete Cthulhu Mythos Tales  - Barnes And Noble Collectible Classics Omnibus Edition,Fiction,Classics,FKC,Horror,ADD_SECONDARY,Horror
9781435142817,Dracula and Other Horror Classics,Fiction,Classics,FKC,Horror,ADD_SECONDARY,Horror
9780241998175,Funny Story,Fiction,General Fiction,FRD,Romance,RECLASSIFY,Romance
9781761471261,Campers,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781800754539,Seventh Floor - 3 Damascus Station,Fiction,Crime Fiction,FHD,Thriller,ADD_SECONDARY,Thriller
9780571384044,Murder Mindfully,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9780571383481,Daring Young Man on the Flying Trapeze,Fiction,General Fiction,FC,Classics,RECLASSIFY,Classics
9781800815803,Deorhord - An Old English Bestiary,Reference,General,CB,Languages,RECLASSIFY,Languages
9781529154139,Sweat,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781685891442,Every Man Dies Alone,Fiction,General Fiction,FH,Thriller,RECLASSIFY,Thriller
9781784878733,Snow Ghost -  Classic Japanese Ghost Stories,Fiction,Classics,FKC,Horror,ADD_SECONDARY,Horror
9781804996379,Blackwater I - The Flood,Fiction,General Fiction,FK,Horror,RECLASSIFY,Horror
9781804996386,Blackwater II - The Levee,Fiction,General Fiction,FK,Horror,RECLASSIFY,Horror
9781804996393,Blackwater III - The House,Fiction,General Fiction,FK,Horror,RECLASSIFY,Horror
9781786788788,Feminists Guide to ADHD - How women can thrive and find focus in a world built for men,Well Being,Health,VFJD,Psychology,ADD_SECONDARY,Psychology
9781444720716,Misery,Fiction,Science Fiction and Fantasy,FK,Horror,ADD_SECONDARY,Horror
9781911717218,Stranger Than Fiction - Lives of the Twentieth-Century Novel,Reference,General,DSRC,Classics,RECLASSIFY,Classics
9788417557744,Building on Challenging Ground,The Arts,Art,AM,Architecture,ADD_SECONDARY,Architecture
9781761269868,Three Boys Gone,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781035037094,Total Control,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781035058631,Famous,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781250622013,Evil in Me,Fiction,Science Fiction and Fantasy,FK,Horror,ADD_SECONDARY,Horror
9781035048090,Rats,Fiction,Classics,FK,Horror,ADD_SECONDARY,Horror
9781035051809,Area of Darkness,Fiction,General Fiction,FC,Classics,RECLASSIFY,Classics
9781035049349,Money Trap - Grand Fortunes and Lost Illusions Inside the Tech Bubble,Sciences,Business,KFF,Economics,ADD_SECONDARY,Economics
9781529059908,Mozart in Italy - Coming of Age in the Land of Opera,The Arts,Music And Performing Arts,BGF,Biography,ADD_SECONDARY,Biography
9781774584668,You Dont Have to Quit - 20 Science-Backed Strategies to Help Your Loved One Drink Less,Well Being,Health,VFJK,Psychology,ADD_SECONDARY,Psychology
9781761106576,Against the Water - A surfing champions inspirational journey to Olympic glory,Sport,General Sport And Fitness,BGA,Biography,ADD_SECONDARY,Biography
