isbn,title,bookscan_maincat,bookscan_subcat,bic_code,bic_tag,assessment,tags_to_add
9781984860583,Understanding Street Photography - An Introduction to Shooting Compelling Images on the Street,The Arts,Art,AJG,Photography,ADD_SECONDARY,Photography
9781804090787,Stop Waiting - Start Investing - Build Wealth With 10 Minutes Of Work,Sciences,Business,KFFM,Economics,ADD_SECONDARY,Economics
9781804091340,"How Not to Invest - The ideas, numbers, and behaviors that destroy wealth-and how to avoid them",Sciences,Business,KFFM,Economics,ADD_SECONDARY,Economics
9781398526730,Woman in Suite 11 - 2 Lo Blacklock,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781787636637,Burn After Reading,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781804946466,Someone Is Lying,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781529176186,Exile,Fiction,Crime Fiction,FHD,Thriller,ADD_SECONDARY,Thriller
9781529442397,Lights Out - 1 Into Darkness,Fiction,General Fiction,FRD,Romance,RECLASSIFY,Romance
9781529955484,Tiger Slam - The inside story of the greatest golf ever played,Sport,General Sport And Fitness,BGS,Biography,ADD_SECONDARY,Biography
9781399724869,Exchange - 2 The Firm,Fiction,Crime Fiction,FHP,Thriller,ADD_SECONDARY,Thriller
9781398549739,War,History And Politics,History,JPA,Politics,ADD_SECONDARY,Politics
9781835010976,Out On A Limb,Fiction,General Fiction,FRD,Romance,RECLASSIFY,Romance
9781526679857,Collide - Off The Ice,Fiction,General Fiction,FR,Romance,RECLASSIFY,Romance
